Year	DoY	Hour	NEE	H	LE	Tair	rH	VPD	Ustar	Rg
2019.0	96.0	1.0	1.74338	-4.86695	-5.07941	18.757000000000005	80.47431	4.66514	0.1038369999999999	-1.679143
2019.0	96.0	1.5	1.9333	-2.88533	-1.7078400000000002	18.858000000000004	81.04092	4.547477	0.0649785	-0.4916421
2019.0	96.0	2.0	3.73088	-4.49906	-9999	18.82000000000005	82.06256	4.286234	0.114888	-0.7540163
2019.0	96.0	2.5	1.23988	-9999	-6.32755	18.937000000000012	81.9612	4.3557570000000005	0.1529869999999999	-0.3849061
2019.0	96.0	3.0	2.37451	-9999	-31.9251	19.033000000000015	85.89744	3.387837	0.168868	-0.8762097
2019.0	96.0	3.5	-9999	-2.28403	16.2651	18.970000000000027	87.98458	2.866027	0.0833944	-0.8633929
2019.0	96.0	4.0	1.61705	-1.60773	7.7487	18.885000000000048	83.10282	4.0403400000000005	0.106889	-0.809605
2019.0	96.0	4.5	-9999	-9999	-4.250030000000001	18.827000000000055	82.39484	4.196292	0.132389	-0.9581658
2019.0	96.0	5.0	2.62212	-3.43141	-2.38353	18.701000000000022	82.84916	4.047692	0.04716	-1.256448
2019.0	96.0	5.5	-9999	-0.993767	-1.49256	18.589000000000055	83.28658	3.922352	0.0476645	-0.3803881
2019.0	96.0	6.0	3.70433	-2.98798	0.5609569999999999	18.62900000000002	82.86398	4.031019000000001	0.127041	-0.5546693
2019.0	96.0	6.5	2.31888	-1.18763	0.804425	18.64100000000002	82.872	4.020094	0.0851641	0.6349099
2019.0	96.0	7.0	2.45106	-0.47533	2.9923	18.65900000000005	83.38329	3.900497	0.140976	6.823665
2019.0	96.0	7.5	2.27767	1.70752	6.47967	18.71700000000004	83.99969	3.774977	0.136235	21.10193
2019.0	96.0	8.0	-9999	10.1773	26.4943	18.827000000000055	84.86682	3.611729	0.187626	28.99004
2019.0	96.0	8.5	2.84572	5.094609999999999	15.9572	19.134000000000015	85.59126	3.504455	0.137352	63.73786
2019.0	96.0	9.0	2.47454	17.8581	45.29	19.608000000000004	85.7838	3.549151	0.16025	149.0506
2019.0	96.0	9.5	2.58923	15.2799	47.3264	20.225000000000023	85.0106	3.884459	0.201596	139.6622
